"id","printed","normalized","host","pdfPageStart","pdfPageEnd","printedPage","chapter","nearbyProject","contextClassification","nearbyText","sourceLineIndex"
"URL-OCC-0149","http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html","http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","National Security Archive / George Washington University","repository / archive / digital library","22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More Thunder Than Lightning”? (Washington, DC: National Security Archive, 2003), http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html. 23. Information Security Oversight Office, Report to the President, 2004, U.S. National Archives and Records Administration, Information Oversight Office,","27"
"URL-OCC-0150","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","U.S. National Archives and Records Administration","repository / archive / digital library","23. Information Security Oversight Office, Report to the President, 2004, U.S. National Archives and Records Administration, Information Oversight Office, 2005, http://www.archives.gov/isoo/reports/2004-annual-report.html#10. 24. Andrew Card, “Memorandum for Heads of Departments and Agencies: Action to Safeguard Information Regarding Weapons of Mass Destruction and","30"
"URL-OCC-0151","http://www.usdoj.gov/oip/foiapost/2002foiapost10.htm","http://www.usdoj.gov/oip/foiapost/2002foiapost10.htm","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","U.S. Department of Justice","law / court / government record","Action to Safeguard Information Regarding Weapons of Mass Destruction and Other Sensitive Documents Related to Homeland Security,” (Washington, DC: U.S. Office of the President, March 21, 2002), http://www.usdoj.gov/oip/ foiapost/2002foiapost10.htm. 25. American Library Association, Washington Office, Sensitive Homeland Security Information (Washington, DC: American Library Association, 2003),","34"
"URL-OCC-0152","http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi","http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Library Association","law / court / government record","25. American Library Association, Washington Office, Sensitive Homeland Security Information (Washington, DC: American Library Association, 2003), http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi. 26. American Library Association, Washington Office, “Executive Order 13233, November 1, 2001, Further Implementation of the Presidential Records Act,”","38"
"URL-OCC-0153","http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec","http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Library Association","article / report / publication","26. American Library Association, Washington Office, “Executive Order 13233, November 1, 2001, Further Implementation of the Presidential Records Act,” http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec. 27. “Statement on Scientific Publication and Security—January 2003,” Science 299/5610 (February 21, 2003): 1149.","42"
"URL-OCC-0154","http://www.aaup.org/statements/REPORTS/Post9-11.pdf","http://www.aaup.org/statements/REPORTS/Post9-11.pdf","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Association of University Professors","article / report / publication","National Security in a Time of Crisis, “Report of an AAUP Special Committee,” Academe: Bulletin of the American Association of University Professors 89/6 (November–December 2003), http://www.aaup.org/statements/REPORTS/Post9 -11.pdf; National Research Council (NRC), Committee on Research Standards and Practices to Prevent the Destructive Application of Biotechnology, Biotech- nology Research in an Age of Terrorism (Washington, DC: National Academies","4"
"URL-OCC-0155","http://www.pewinternet.org/pdfs/PIP_Digital_Divisions_Oct_5_2005.pdf","http://www.pewinternet.org/pdfs/PIP_Digital_Divisions_Oct_5_2005.pdf","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Pew Internet & American Life Project","article / report / publication","5, 2005), http://www.pewinternet.org/pdfs/PIP_Digital_Divisions _Oct_5_2005.pdf; Robert W. Fairlie, Are We Really a Nation Online? Ethnic and Racial Disparities in Access to Technology and Their Consequences (Washington, DC: Leadership Conference on Civil Rights Education Fund,","17"
"URL-OCC-0156","http://www.civilrights.org/issues/communication/digitaldivide.pdf","http://www.civilrights.org/issues/communication/digitaldivide.pdf","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Leadership Conference on Civil and Human Rights","article / report / publication","20, 2005), http://www.civilrights.org/issues/communication/ digitaldivide.pdf. 31. Jeffrey Young, “Technology Gap among Colleges Perpetuates ‘Digital Divide' in Society, Expert Warns: Logging in with Larry Irving,” Chronicle of","24"
"URL-OCC-0157","http://chronicle.com/free/2002/06/2002060402t.htm","http://chronicle.com/free/2002/06/2002060402t.htm","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Chronicle of Higher Education","article / report / publication","4, 2002), http://chronicle.com/free/2002/06/ 2002060402t.htm. 32. Eszter Hargittai, “Second-Level Digital Divide: Differences in People's Online Skills,” First Monday, 7/4 (April 2002), http://firstmonday.org/issues/","33"
"URL-OCC-0158","http://firstmonday.org/issues/issue7_4/hargittai/index.html","http://firstmonday.org/issues/issue7_4/hargittai/index.html","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","First Monday","article / report / publication","2002060402t.htm. 32. Eszter Hargittai, “Second-Level Digital Divide: Differences in People's Online Skills,” First Monday, 7/4 (April 2002), http://firstmonday.org/issues/ issue7_4/hargittai/index.html. 33. Nancy Kranich, “Literacy in the Digital Age,” in Susan Kretchmer, ed., Navigating the Network Society: The Challenges and Opportunities of the","36"
"URL-OCC-0159","http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245","http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Duke University School of Law / Law and Contemporary Problems","article / report / publication","36. Yochai Benkler, “Freedom in the Commons: Towards a Political Economy of Information,” Duke Law Journal 55/6 (April 2003): 1245–1276 (quote on 1256), http://www.law.duke.edu/shell/cite.pl?52+Duke+L.+J.+1245. 37. Yochai Benkler, “From Consumers to Users: Shifting the Deeper Structures of Regulation toward Sustainable Commons and User Access,” Federal Com-","47"
"URL-OCC-0160","http://www.law.indiana.edu/fclj/pubs/v52/no3/benkler1.pdf","http://www.law.indiana.edu/fclj/pubs/v52/no3/benkler1.pdf","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Indiana University","article / report / publication","of Regulation toward Sustainable Commons and User Access,” Federal Com- munications Law Journal 52/3 (2000): 579, http://www.law.indiana.edu/ fclj/pubs/v52/no3/benkler1.pdf. 38. David Bollier, “Artists, Technology and the Ownership of Creative Content,” Center for the Creative Community, November 2003, p. 98, http://","51"
"URL-OCC-0161","http://www.culturalcommons.org/comment-print.cfm?ID=10","http://www.culturalcommons.org/comment-print.cfm?ID=10","","131","131","116","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Cultural Commons / Center for the Creative Community","article / report / publication","fclj/pubs/v52/no3/benkler1.pdf. 38. David Bollier, “Artists, Technology and the Ownership of Creative Content,” Center for the Creative Community, November 2003, p. 98, http:// www.culturalcommons.org/comment-print.cfm?ID=10. 116 Nancy Kranich","54"
"URL-OCC-0162","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_650_1.pdf","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_650_1.pdf","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","New America Foundation","article / report / publication","Digest 65 (June 2003): 1–4; David Bollier, Public Assets, Private Profits: Reclaiming the American Commons in an Age of Market Enclosure (Washing- ton, DC: New America Foundation, 2001), http://www.newamerica.net/ Download_Docs/pdfs/Pub_File_650_1.pdf; David Bollier and Tim Watts, Saving the Information Commons: A New Public Interest Agenda in Digital Media (Washington, DC: New America Foundation and Public Knowledge, 2002),","5"
"URL-OCC-0163","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf","http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","New America Foundation","article / report / publication","the Information Commons: A New Public Interest Agenda in Digital Media (Washington, DC: New America Foundation and Public Knowledge, 2002), http://www.newamerica.net/Download_Docs/pdfs/Pub_File_866_1.pdf; David Bollier, Silent Theft: The Private Plunder of Our Common Wealth (New York:","9"
"URL-OCC-0164","http://www.law.duke.edu/journals/66LCPHess","http://www.law.duke.edu/journals/66LCPHess","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Duke University School of Law / Law and Contemporary Problems","article / report / publication","41. Charlotte Hess and Elinor Ostrom, “Ideas, Artifacts, and Facilities: Infor- mation as a Common-Pool Resource,” Law & Contemporary Problems 66/1–2 (winter/spring 2003): 144–145, http://www.law.duke.edu/journals/66LCPHess. 42. Peter Levine, “Building the Electronic Commons,” The Good Society 11/3 (2002): 5–8, http://www.peterlevine.ws/goodsociety.pdf.","18"
"URL-OCC-0165","http://www.peterlevine.ws/goodsociety.pdf","http://www.peterlevine.ws/goodsociety.pdf","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Peter Levine","article / report / publication","(winter/spring 2003): 144–145, http://www.law.duke.edu/journals/66LCPHess. 42. Peter Levine, “Building the Electronic Commons,” The Good Society 11/3 (2002): 5–8, http://www.peterlevine.ws/goodsociety.pdf. 43. For more information, see SPARC, http://www.arl.org/sparc/core/index.asp ?page=a0.","20"
"URL-OCC-0166","http://www.arl.org/sparc/core/index.asp?page=a0","http://www.arl.org/sparc/core/index.asp?page=a0","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Association of Research Libraries / SPARC","article / report / publication","42. Peter Levine, “Building the Electronic Commons,” The Good Society 11/3 (2002): 5–8, http://www.peterlevine.ws/goodsociety.pdf. 43. For more information, see SPARC, http://www.arl.org/sparc/core/index.asp ?page=a0. 44. American Anthropological Association, AnthroSource: Enriching Scholar- ship and Building Global Communities, http:///www.aaanet.org/anthrosource/","21"
"URL-OCC-0167","http:///www.aaanet.org/anthrosource/index.htm","http://www.aaanet.org/anthrosource/index.htm","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Anthropological Association / AnthroSource","initiative / declaration / policy","?page=a0. 44. American Anthropological Association, AnthroSource: Enriching Scholar- ship and Building Global Communities, http:///www.aaanet.org/anthrosource/ index.htm. See also “Open-Access Policy Statements by Learned Societies and Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro-","24"
"URL-OCC-0168","http://www.earlham.edu/~peters/fos/lists.htm","http://www.earlham.edu/~peters/fos/lists.htm","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Peter Suber / Earlham College","initiative / declaration / policy","ship and Building Global Communities, http:///www.aaanet.org/anthrosource/ index.htm. See also “Open-Access Policy Statements by Learned Societies and Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free","26"
"URL-OCC-0169","http://www.alpsp.org/default.htm","http://www.alpsp.org/default.htm","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Association of Learned and Professional Society Publishers","article / report / publication","Professional Associations,” http://www.earlham.edu/~peters/fos/lists.htm. For more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free Online Scholarship Newsletter and blog, http://www.earlham.edu/~peters/fos/. 45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open","28"
"URL-OCC-0170","http://www.earlham.edu/~peters/fos/","http://www.earlham.edu/~peters/fos/","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Peter Suber / Earlham College","article / report / publication","more information about these issues, see the Association of Learned and Pro- fessional Society Publishers, website, http://www.alpsp.org/default.htm; the Free Online Scholarship Newsletter and blog, http://www.earlham.edu/~peters/fos/. 45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open Access for Librarians,” College & Research Libraries News 64/2 (February","29"
"URL-OCC-0171","http://www.earlham.edu/~peters/writing/acrl.htm","http://www.earlham.edu/~peters/writing/acrl.htm","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Peter Suber / Earlham College","web resource","45. Peter Suber, “Removing the Barriers to Research: An Introduction to Open Access for Librarians,” College & Research Libraries News 64/2 (February 2003): 92–94, 113, http://www.earlham.edu/~peters/writing/acrl.htm; Gerry McKiernan, “Open Access and Retrieval: Liberating the Scholarly Literature,” in David Fowler, ed., E-Serials Collection Management: Transitions, Trends, and","32"
"URL-OCC-0172","http://www.public.iastate.edu/~gerrymck/Open.pdf","http://www.public.iastate.edu/~gerrymck/Open.pdf","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Iowa State University / Gerry McKiernan","article / report / publication","in David Fowler, ed., E-Serials Collection Management: Transitions, Trends, and Technicalities (New York: Haworth Information Press, 2004), 197–220, http://www.public.iastate.edu/~gerrymck/Open.pdf; Association of Research Libraries, “What Is Open Access,” Washington, DC, http://www.arl.org/scomm/ open_access/framing.html#openaccess; David Prosser, “On the Transition of","36"
"URL-OCC-0173","http://www.arl.org/scomm/open_access/framing.html#openaccess","http://www.arl.org/scomm/open_access/framing.html#openaccess","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Association of Research Libraries / SPARC","article / report / publication","Technicalities (New York: Haworth Information Press, 2004), 197–220, http://www.public.iastate.edu/~gerrymck/Open.pdf; Association of Research Libraries, “What Is Open Access,” Washington, DC, http://www.arl.org/scomm/ open_access/framing.html#openaccess; David Prosser, “On the Transition of Journals to Open Access,” ARL Bimonthly Report, no. 227 (April 2003): 1–3, http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly","37"
"URL-OCC-0174","http://www.arl.org/newsltr/227/openaccess.html","http://www.arl.org/newsltr/227/openaccess.html","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Association of Research Libraries / SPARC","article / report / publication","open_access/framing.html#openaccess; David Prosser, “On the Transition of Journals to Open Access,” ARL Bimonthly Report, no. 227 (April 2003): 1–3, http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly Access Perspective,” Cites & Insights: Crawford at Large, 3/13 (November 2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop-","40"
"URL-OCC-0175","http://cites.boisestate.edu/civ3i13.pdf","http://cites.boisestate.edu/civ3i13.pdf","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Cites & Insights","article / report / publication","http://www.arl.org/newsltr/227/openaccess.html; Walt Crawford, “A Scholarly Access Perspective,” Cites & Insights: Crawford at Large, 3/13 (November 2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop- ments in Open Access, E-Books and More,” Information Today, 21/1 (January 2, 2004), http://www.infotoday.com/IT/jan04/hane1.shtml. For a timeline of","42"
"URL-OCC-0176","http://www.infotoday.com/IT/jan04/hane1.shtml","http://www.infotoday.com/IT/jan04/hane1.shtml","","132","132","117","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Information Today","article / report / publication","2003), http://cites.boisestate.edu/civ3i13.pdf; Paula Hane, “The Latest Develop- ments in Open Access, E-Books and More,” Information Today, 21/1 (January 2, 2004), http://www.infotoday.com/IT/jan04/hane1.shtml. For a timeline of the open-access movement, see Peter Suber, “Timeline of the Free Online Countering Enclosure","44"
"URL-OCC-0177","http://www.earlham.edu/~peters/fos/timeline.htm","http://www.earlham.edu/~peters/fos/timeline.htm","","133","133","118","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Peter Suber / Earlham College","article / report / publication","Scholarship Movement,” http://www.earlham.edu/~peters/fos/timeline.htm. See also SPARC Open Access Newsletter (Washington, DC: SPARC), http:// www.earlham.edu/~peters/fos/; Peter Suber, Open Access News Blog, http://","1"
